Project Id,Approval Date,Show Name,Source,Video Title,Length,Status,Watch,Sunset Date,Music,Music Info,Promo Code,Notes,PR,On-Air,,Digital,,,Social,Off Air
60276,6/22/2017,Midnight Texas S1,LCOP,Relationship,0:30,Live,Rough Final Create Video Quick Link,,Licensed,Music is cleared commercial: ?Solider? by Fleurie,030X724MTX1507H,Spot is for Testing. Ships tonight!,,6/29/2017,On-Air,,,,,
60106,6/15/2017,Midnight Texas S1,LCOP,Soldier,1:00,Live,Rough Final Create Video Quick Link,,Licensed,?Soldier? by Fleurie,100X724MTX1207H,,,6/20/2017,On-Air,,,,,
60086,6/14/2017,Midnight Texas S1,LCOP,Outsider,0:15,Live,Rough Final Create Video Quick Link,,Library,,015X724MTX1207H,,,6/17/2017,On-Air,,,,,
60091,6/14/2017,Midnight Texas S1,LCOP,Unfinished Business,0:15,Live,Rough Final Create Video Quick Link,,Licensed,You Can Run?- Adam Jones.,015X724MTX1307H,,,6/16/2017,On-Air,,,,,
60841,7/14/2017,"Night Shift, The S4",TOP,EP 406 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T727NIS1107H,"""Paralyzed""",,,,,,,,
60556,6/29/2017,"Night Shift, The S4",TOP,Give Up,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T713NIS1107H,,,,,7/7/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/7/2017,Digital,,,
,,,,,,,,,,,,,,,,7/7/2017,Digital,YouTube,,
60541,6/29/2017,"Night Shift, The S4",TOP,Thursday 3-Way Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A706HGN3107H,For 6/6,,7/5/2017,On-Air,,,,,
60511,6/28/2017,"Night Shift, The S4",TOP,EP 402 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T706NIS1107H,"""Illness""",,7/5/2017,On-Air,,,,,
60341,6/23/2017,"Night Shift, The S4",TOP,Thursday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A629HGN3107H,,,6/25/2017,On-Air,,,,,
60331,6/23/2017,"Night Shift, The S4",TOP,Twitter,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A629NIS1107H,,,,,,,,,
60831,7/14/2017,Spartan S2,TOP,EP 907 Look Ahead,0:30,Live,Rough,,Library,,030T724ANW2107H,,,,,,,,,
60646,7/10/2017,Spartan S2,TOP,EP 205,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A717SPN1107H,Week 6,,,,,,,,
60616,7/10/2017,Spartan S2,TOP,EP Look Ahead Ninjas,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T717SPN1107H,Week 6 Look-ahead (Eps 205) Ninjas - 1.0,,,,7/11/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/11/2017,Digital,,,
,,,,,,,,,,,,,,,,7/11/2017,Digital,Hulu,,
,,,,,,,,,,,,,,,,7/11/2017,Digital,YouTube,,
60641,7/7/2017,Spartan S2,TOP,EP 205,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A717SPN1107H,,,,,,,,,
60611,7/7/2017,Spartan S2,TOP,Monday Line- Up,0:30,Live,Rough,,Library,,030T710ANW2107H,No new gfx.,,,,,,,,
60516,6/29/2017,Spartan S2,TOP,ANW / SPT Combo Look Ahead,0:30,Live,Rough,,Library,,030T710ANW2107H,,,,,,,,,
60506,6/28/2017,Spartan S2,TOP,Monday Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A703ANW2207H,,,,,,,,,
60371,6/26/2017,Spartan S2,TOP,Week 4 Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A703SPN1107H,,,,,,,,,
60386,6/26/2017,Spartan S2,TOP,Week 4,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A703SPN1107H,,,,,,,,,
60361,6/26/2017,Spartan S2,TOP,EP 204 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T703SPN1107H,,,,,,,,,
60326,6/23/2017,Spartan S2,TOP,Monday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A626ANW2207H,,,6/25/2017,On-Air,,,,,
60306,6/22/2017,Spartan S2,TOP,Week 3 Promo,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A626SPN1107H,,,,,,,,,
60221,6/20/2017,This Is Us S1,TOP,EP 105 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T628TUS1107H,"""The Game Plan""",,,,,,,,
